NH3_True,NH3_Pred,NO2_True,NO2_Pred,H2_True,H2_Pred
10.0,9.709415,2.0,2.1824472,16000.0,17271.436
10.0,9.678009,10.0,9.980232,8000.0,7537.541
20.0,19.952993,4.0,4.153264,8000.0,7256.8354
20.0,20.435009,8.0,7.971875,16000.0,16022.023
30.0,28.994457,2.0,1.5338323,16000.0,15465.069
40.0,39.13704,6.0,5.734761,24000.0,24969.252
50.0,49.71763,2.0,2.1185846,16000.0,16085.99
10.0,8.889339,10.0,9.558582,16000.0,16340.895
20.0,20.385015,2.0,2.0025036,32000.0,32092.89
10.0,8.205671,2.0,2.0510168,32000.0,32435.967
30.0,28.14145,6.0,5.77321,24000.0,23458.893
30.0,31.142422,8.0,8.414525,16000.0,15872.382
40.0,37.841908,6.0,5.8185973,8000.0,8263.321
50.0,49.957294,6.0,6.089779,8000.0,8246.315
20.0,20.605087,6.0,6.0064774,24000.0,23628.906
30.0,29.4201,6.0,6.1753354,16000.0,16138.76
30.0,28.33887,10.0,9.378069,8000.0,8239.953
40.0,40.078625,6.0,6.2029743,16000.0,16054.357
10.0,10.853426,6.0,6.094326,8000.0,9173.567
50.0,50.37414,4.0,4.0480905,16000.0,16341.056
10.0,10.628843,8.0,8.096024,8000.0,8732.25
20.0,19.049185,2.0,2.0623648,16000.0,16878.78
30.0,26.944885,4.0,3.835559,24000.0,23368.855
10.0,10.752105,4.0,3.9320123,16000.0,14759.381
40.0,38.931538,2.0,2.4149566,32000.0,31595.174
40.0,37.76021,4.0,3.7356377,16000.0,15812.463
40.0,41.315598,10.0,10.543715,8000.0,9089.972
50.0,49.963547,6.0,6.37097,24000.0,25679.22
20.0,20.670933,4.0,3.9799113,24000.0,23581.027
20.0,20.31464,10.0,10.410126,8000.0,8083.294
30.0,28.529766,2.0,1.6482532,32000.0,31272.295
40.0,39.772255,2.0,2.1174607,16000.0,16263.264
40.0,39.905285,2.0,2.0458214,24000.0,24823.256
10.0,7.2201195,4.0,4.4482975,24000.0,24858.172
50.0,49.346775,4.0,4.1636715,8000.0,6789.591
10.0,10.4817915,8.0,8.054609,24000.0,23365.674
20.0,20.051685,2.0,1.745759,8000.0,7004.1177
20.0,20.458092,2.0,2.1737518,24000.0,23556.574
20.0,19.895954,8.0,8.200609,8000.0,7848.2153
30.0,28.248472,10.0,8.820456,16000.0,15623.018
40.0,41.50409,8.0,8.4465065,16000.0,16151.256
50.0,46.85566,2.0,2.128328,24000.0,24664.018
20.0,19.50129,6.0,5.726713,16000.0,15691.684
30.0,27.953396,4.0,3.6902354,8000.0,8373.818
30.0,27.548008,4.0,3.9727178,16000.0,16338.295
40.0,40.17345,4.0,3.325861,8000.0,8288.517
40.0,39.643215,8.0,7.9171314,8000.0,7484.218
50.0,49.843803,8.0,7.945462,16000.0,15729.126
10.0,11.218378,6.0,5.7784896,24000.0,25375.598
20.0,19.382149,4.0,4.2128015,16000.0,16420.605
30.0,30.54225,2.0,1.9824789,24000.0,23578.984
30.0,29.551014,8.0,8.00674,8000.0,7972.2876
50.0,50.325893,4.0,4.2118087,24000.0,23807.621
50.0,50.408432,8.0,7.9620852,8000.0,7840.0796
50.0,49.908356,10.0,10.026482,16000.0,16140.288
10.0,10.054834,6.0,6.344677,16000.0,16282.806
10.0,10.633916,2.0,1.9211302,24000.0,22996.271
30.0,30.339096,2.0,2.3740733,8000.0,8036.3745
30.0,27.077393,6.0,5.7694864,8000.0,8450.376
40.0,39.275345,2.0,1.5825396,8000.0,7202.2305
40.0,38.25137,4.0,3.935317,24000.0,23528.455
50.0,50.853477,2.0,1.2194552,8000.0,7356.099
50.0,49.67518,10.0,10.436523,8000.0,8857.42
10.0,9.996705,8.0,8.095543,16000.0,15885.585
20.0,20.631592,6.0,5.9942718,8000.0,8431.702
20.0,18.83078,10.0,9.209603,16000.0,15811.461
10.0,11.581295,4.0,4.9293094,8000.0,9088.513
40.0,36.956688,10.0,8.726852,16000.0,15416.422
50.0,49.725548,6.0,6.0208583,16000.0,15944.086
